Contract ID,Customer,Annual Premium
G205402,Jimmy Andrews,58271.82
G205403,Claire Gonzales,495881.35
G205404,Khan-Shaw,283149.56
G205405,"Dunn, Mason and Jones",271532.87
G205406,"Anderson, Thomas and Harrison",268089.86
G205407,"Snyder, Larson and Gonzales",499408.33
G205408,Soto-Pitts,223616.13
G205409,Keith Dixon,31324.19
G205410,Crane Group,5151.34
G205411,Holly Woods,178838.37
G205412,Phillips and Sons,45982.82
G205413,"Thornton, Smith and Jones",368246.57
G205414,"Thomas, Walker and Gonzalez",431486.09
G205415,"Duncan, Bell and Smith",450441.38
G205416,"Perez, Santana and Hale",56431.38
G205417,Anthony Garcia,19041.09
G205418,Meghan Martinez,18718.33
G205419,Brown PLC,370582.74
G205420,Courtney Cook,165396.03
G205421,Thomas Ford,256933.74
G205422,Murray-Huffman,7514.24
G205423,Chavez LLC,148803.87
G205424,"Romero, Dennis and Ryan",19434.47
G205425,"Davis, Moore and Torres",494280.08
G205426,Gregory Morse,299085.16
G205427,Smith-Reid,124603.07
G205428,Erin Davis,233057.37
G205429,Dustin Cervantes,53393.93
G205430,Mosley LLC,44249.31
G205431,Kyle Robinson,482568.68
G205432,Reed Ltd,372935.08
G205433,Dana Oneal,207755.86
G205434,"Miller, Farrell and Santos",166317.47
G205435,Autumn Mitchell,435213.79
G205436,Jaime Delgado,78097.42
G205437,"Gilmore, Adkins and Barnes",422417.61
G205438,Miller-Hughes,354165.05
G205439,"Yu, Hernandez and Soto",139706.08
G205440,Scott Mccall,266987.63
G205441,"Cabrera, Brennan and Brooks",336250.5
G205442,Schroeder Ltd,226731.63
G205443,Sara Baker,390585.54
G205444,Scott Garcia,222189.35
G205445,Ortiz LLC,207730.05
G205446,Kristin Contreras MD,74183.53
G205447,Barajas and Sons,283583.27
G205448,Anderson and Sons,32114.23
G205449,James Lawson,477513.36
G205450,"Richards, Booth and Mccarthy",255102.14
G205451,James Fitzgerald,97748.54
G205452,Garrett Inc,247393.57
G205453,Berry-Randall,148460.26
G205454,"Holmes, Davis and Taylor",87907.55
G205455,Erika Nunez,35575.62
G205456,Levi Stokes,102581.69
G205457,Cody Smith,441027.42
G205458,Laura Davis,324239.93
G205459,Blankenship and Sons,453110.77
G205460,Todd Ltd,318596.2
G205461,Edwards-Rhodes,146370.93
G205462,Russell PLC,494430.02
G205463,Elizabeth Hernandez,349626.49
G205464,"Martin, Palmer and Russell",380407.45
G205465,"Peterson, Oconnor and Freeman",361083.33
G205466,Rice and Sons,362141.16
G205467,Taylor Randall,153239.76
G205468,Turner LLC,392091.07
G205469,Laurie Franco,468702.17
G205470,"Alvarez, Davenport and Marsh",88362.02
G205471,"Hernandez, Paul and Harding",405306.17
G205472,Stevens-Bennett,88613.28
G205473,Brown-Kelly,13410.59
G205474,Matthew Ortiz,382968.12
G205475,Fisher PLC,315989.43
G205476,"Branch, Nguyen and Fisher",109523.88
G205477,Brown-Chandler,327039.25
G205478,Edward Welch,67709.71
G205479,"Stone, Campbell and Oconnell",444513.1
G205480,Edwards-Alvarado,414679.08
G205481,Garrison and Sons,51496.29
G205482,"Monroe, Flynn and Osborne",84121.18
G205483,Briana Hardy,280454.59
G205484,Thompson Group,394200.75
G205485,"Gomez, Maxwell and Brown",366935.25
G205486,Collins LLC,121440.24
G205487,"Richardson, Martin and West",477571.57
G205488,Wall-Davies,265388.36
G205489,Lara-Brown,11188.5
G205490,Laura Johnson,281236.32
G205491,Janet Torres,91199.71
G205492,Patterson-Thomas,349064.38
G205493,Andrea Trevino,188217.05
G205494,"Thompson, Thompson and James",231286.9
G205495,"Acosta, Stanley and Hunter",264059.91
G205496,"Riley, Spears and Evans",227369.96
G205497,"Hayes, Murray and Fuller",102398.9
G205498,Mckay Ltd,365186.5
G205499,"Baker, Daniels and Gray",344950.64
G205500,John Hicks,389915.16
G205501,Mr. Michael Fowler,236584.1
G205502,Thomas-Mayo,364940.24
G205503,Caldwell PLC,169961.96
G205504,Miller Ltd,455647.1
G205505,"Hale, Espinoza and Johnson",390458.12
G205506,"Walker, Rodriguez and Hensley",368537.4
G205507,Jason Martin,192732.49
G205508,Holloway-Quinn,61246.85
G205509,Moore Ltd,67094.0
G205510,Jackson-Delacruz,262815.57
G205511,Waters-Williams,96706.63
G205512,Gina Grant,336920.24
G205513,Stewart-Lamb,78768.22
G205514,Lopez-Harris,35828.1
G205515,Elizabeth Gallegos,452840.35
G205516,Miller Inc,123764.48
G205517,Riley PLC,425088.33
G205518,Mckay Ltd,232353.53
G205519,Alexander Turner,62147.96
G205520,Katelyn Beck,260421.06
G205521,Nichols-Robinson,404596.98
G205522,Maldonado-Anderson,264909.31
G205523,Carlos Brown,52207.18
G205524,"Allen, Zuniga and Lyons",89142.82
G205525,Richard Terry,211306.77
G205526,Williams PLC,346198.18
G205527,"Smith, Bishop and Henderson",268708.58
G205528,Victoria Moore,170429.99
G205529,Marshall PLC,388509.8
G205530,Carter LLC,272492.9
G205531,"Kelly, Vargas and Calderon",14313.28
G205532,Cole-Ray,232378.81
G205533,Robert Bradshaw,407018.73
G205534,Robert Rogers,63950.65
G205535,Castillo-Hoffman,244460.86
G205536,"Cannon, Wright and Pearson",452436.42
G205537,Morgan-Caldwell,46279.95
G205538,Craig-Gutierrez,380598.46
G205539,"Cook, Gonzalez and Bennett",474365.49
G205540,"Jackson, Garcia and Sharp",100598.19
G205541,Carolyn Curtis,24861.65
G205542,Kane PLC,455985.33
G205543,Jason Williams,57492.91
G205544,Pamela Hoffman,68191.34
G205545,Patton-Knight,252862.28
G205546,Melanie Guzman,109673.54
G205547,Hale-Hawkins,144019.29
G205548,"Ramos, Henderson and Miller",364054.62
G205549,Collin Villa,256310.82
G205550,"Jacobs, Wagner and Gibson",384508.68
G205551,Hanna Inc,425259.56
G205552,Hernandez PLC,188713.8
G205553,Gomez-Sims,457465.1
G205554,Cynthia Williams,182846.81
G205555,Christian Stanton,282521.82
G205556,Turner-Ferguson,228931.35
G205557,Gordon-Roberts,229067.68
G205558,Wilson Group,467359.37
G205559,Stewart PLC,488930.35
G205560,Keith Stephens,190606.51
G205561,"Figueroa, Garcia and Lutz",32439.44
G205562,Perry Inc,406497.4
G205563,Darren Irwin,237588.02
G205564,Jennifer Moore,90564.81
G205565,Melissa Brown,427213.38
G205566,"Crawford, Merritt and Anderson",62374.82
G205567,Ryan Miller,163110.12
G205568,Rice-Peters,285342.44
G205569,Steele Inc,240938.66
G205570,Hicks-Sutton,418316.79
G205571,Adams PLC,468187.69
G205572,Harper Inc,466099.6
G205573,Boone-Orozco,250144.76
G205574,Brown Group,392191.09
G205575,Figueroa-Wolfe,348296.15
G205576,Ryan Price,88818.36
G205577,Jeffery Gibson,339699.14
G205578,Kelly Gallegos,426917.33
G205579,Bernard Group,173916.49
G205580,Hayley Padilla,70313.79
G205581,Lopez Ltd,475603.78
G205582,Mcdaniel Inc,121406.37
G205583,Reynolds-Hall,17877.93
G205584,"Dunlap, Rojas and Clarke",336496.24
G205585,Madison Black MD,341811.55
G205586,Roberts-George,131518.98
G205587,Austin and Sons,403467.07
G205588,Amanda Cantrell,379385.72
G205589,"Ramos, Andrews and Forbes",200151.51
G205590,Jacqueline Mitchell,25454.17
G205591,Brandy Shaw,482603.75
G205592,"Mccann, Brandt and Gonzalez",99315.87
G205593,Armstrong-Mccall,290552.66
G205594,"Evans, Hawkins and Williams",273736.21
G205595,Thompson-Wright,321508.93
G205596,Cassandra Fields,71594.2
G205597,Collins LLC,359213.52
G205598,Jennifer Walsh,319722.42
G205599,Owens Ltd,334710.22
G205600,Washington-Lewis,47452.41
G205601,Smith-Miles,385001.17
G205602,David Johnson,377204.85
G205603,Barnes-Martinez,441386.67
G205604,Silva Ltd,98114.0
G205605,Kayla Hernandez,378554.31
G205606,Courtney Carr,170186.18
G205607,"Brown, Nielsen and Taylor",396083.41
G205608,"Padilla, Massey and Gutierrez",457435.07
G205609,"Young, Patterson and Phillips",173284.33
G205610,"Sexton, Bauer and Rice",57603.52
G205611,Amanda Clarke,378950.23
G205612,Medina Group,421165.32
G205613,Cook and Sons,192093.95
G205614,Huber-Dennis,331114.61
G205615,Clark-Simon,91544.06
G205616,Lopez LLC,491563.55
G205617,Johnson Group,290492.55
G205618,Morse Inc,366713.74
G205619,Gregory-Douglas,129014.7
G205620,Brian Donaldson,363904.48
G205621,Torres Group,495473.84
G205622,"White, Brennan and Pope",302627.28
G205623,Spears PLC,145116.77
G205624,"Chambers, Miller and Miller",249486.5
G205625,"Campbell, Robertson and Graham",143970.78
G205626,"Watson, Hanson and Sanchez",364638.89
G205627,Joseph Shah,235470.19
G205628,"Booth, Gonzales and Flores",161025.33
G205629,Blanchard-Johnson,42573.06
G205630,"Haynes, Daniels and Lawson",53593.38
G205631,Schmidt Ltd,479024.91
G205632,Kimberly Serrano,262625.3
G205633,"Smith, Cervantes and Moore",471905.77
G205634,Danielle Barry,460667.27
G205635,Moran Inc,11550.38
G205636,Frye-Foster,16080.06
G205637,"Morris, Clark and Smith",200369.06
G205638,Gibbs LLC,199934.19
G205639,Reeves Ltd,492876.84
G205640,Rebekah Bean,139963.73
G205641,Melton-Davis,383202.87
G205642,"Rice, Williamson and Martinez",262464.63
G205643,Dr. Amber Marshall,398840.12
G205644,"Brown, Wong and Kramer",448966.33
G205645,Washington and Sons,260157.66
G205646,"Parker, Smith and Chandler",470550.89
G205647,Singh-Shelton,489246.08
G205648,Jacob Oconnell,173042.2
G205649,Carter PLC,457694.69
G205650,Ryan Berry,488851.65
G205651,"Brown, Carter and Mcguire",105594.57
G205652,James Johnson,393412.59
G205653,"Weber, Cross and Bell",17720.35
G205654,"Perez, Robinson and Jackson",90156.9
G205655,Kenneth Parker,493824.37
G205656,"White, Smith and Hawkins",310552.94
G205657,Cooper-Hart,412301.85
G205658,"Tanner, Gordon and Fields",315034.09
G205659,Jeanette Oneal,468221.9
G205660,Woods PLC,149682.78
G205661,Craig Inc,5747.57
G205662,Whitney Valencia,249786.92
G205663,"Scott, Hall and Conley",40956.64
G205664,Miles-Brown,8678.21
G205665,Hess-Hines,408828.64
G205666,Cain and Sons,105696.89
G205667,Bridges PLC,213965.97
G205668,Gutierrez Ltd,169381.14
G205669,Brown Group,217275.54
G205670,Derrick Hinton,326156.03
G205671,Wilson-Jackson,405035.2
G205672,Jenkins PLC,437957.98
G205673,"Williams, Cooper and Alvarado",316309.04
G205674,Sims-Perez,349215.59
G205675,Dickson Ltd,272387.24
G205676,Taylor LLC,410513.24
G205677,Stewart Ltd,130031.41
G205678,"Simmons, Brown and Dean",100030.29
G205679,Garcia-Williams,212774.68
G205680,"Brooks, Smith and Gonzales",124087.08
G205681,Ruiz Ltd,81881.62
G205682,Allen LLC,222314.19
G205683,Holmes-Hudson,108472.25
G205684,Molly Matthews,277734.24
G205685,Campbell-Romero,498895.35
G205686,Patricia Young,100934.88
G205687,Holt-Roberts,327724.97
G205688,Anderson-Palmer,54516.63
G205689,Blankenship-Berg,226412.03
G205690,"Pierce, Nelson and Kim",474252.18
G205691,"Parker, Dean and Prince",99197.15
G205692,"Gonzalez, Simpson and Cuevas",215820.37
G205693,Mack-Wells,122069.41
G205694,Garcia Inc,177871.6
G205695,Eric Tyler,271549.08
G205696,Anderson Group,225175.88
G205697,Kim-Pena,444132.2
G205698,Brown Group,57368.58
G205699,David Reynolds,324455.01
G205700,Carroll Inc,350777.94
G205701,Ashley Smith,65673.64
G205702,"Rose, Gilbert and Brown",140292.83
G205703,Baker and Sons,376773.57
G205704,Daniel Stewart,174955.7
G205705,Manning Group,438365.21
G205706,Mckenzie-Hart,480061.42
G205707,Cooper PLC,213981.52
G205708,Taylor Khan,436098.79
G205709,Glover-Ramirez,42100.82
G205710,"Reid, Forbes and Stevens",368956.85
G205711,Ali-Nelson,452294.6
G205712,Gardner Inc,138521.2
G205713,Mckinney Inc,178928.53
G205714,Ramirez-Brock,65544.15
G205715,"Rich, Perez and Fitzgerald",465232.84
G205716,"Roberts, Williams and Hernandez",14338.0
G205717,Miller Group,391217.51
G205718,Stephen Hill,240288.13
G205719,"Potter, Barnett and Jones",405789.84
G205720,Murphy and Sons,184724.26
G205721,"Hayes, Lucas and Russell",141099.6
G205722,Garcia and Sons,275308.82
G205723,"Cruz, Anderson and Allen",36478.01
G205724,"Obrien, Miller and Ellis",497250.21
G205725,Peters PLC,112131.23
G205726,Stephanie Taylor,76950.97
G205727,Anthony Taylor,329153.19
G205728,Janet Collins,309892.16
G205729,Murphy Inc,186328.87
G205730,Solis-Davis,172048.3
G205731,Hill LLC,101202.13
G205732,Vasquez-Malone,440678.33
G205733,Brandt-Miller,189362.41
G205734,Alexandra Smith,265104.75
G205735,Sharon Arnold,45411.94
G205736,"Manning, Adams and Berger",384104.36
G205737,Baker Group,41766.65
G205738,David Brock,94627.13
G205739,Erik Collins,9422.41
G205740,Carter-Fuentes,191737.76
G205741,Bobby Reed,170620.44
G205742,Young Inc,107927.46
G205743,Michael Cummings,404789.06
G205744,"Grant, Miller and Wood",254240.43
G205745,Gray-Thompson,24485.6
G205746,"Johnson, Brown and Hall",138858.38
G205747,Nancy Perez,296331.5
G205748,Peter Palmer,393723.89
G205749,Maynard-Cantrell,127857.75
G205750,Chang-Patterson,279405.51
G205751,Marquez Ltd,496666.4
G205752,"Moreno, Larson and Walker",366552.04
G205753,Ramirez LLC,370593.57
G205754,Kathleen Keith,175106.39
G205755,Chang-Phelps,356547.66
G205756,Nash-Schneider,174943.06
G205757,Jessica Mcmillan,142891.63
G205758,Oconnor-Beck,254283.67
G205759,Garcia Group,113610.5
G205760,Miller LLC,381267.51
G205761,Teresa King,228942.22
G205762,Beard-Flynn,108743.44
G205763,"Cruz, Lewis and Hamilton",162113.88
G205764,"Parsons, Wilson and Peck",481282.92
G205765,Mann-Cook,215394.01
G205766,John Patterson,230087.11
G205767,Kenneth Barrera,319251.81
G205768,"Brown, Owens and Mitchell",453565.46
G205769,Dr. Jenny Goodman DDS,207525.91
G205770,Matthew Jackson,214559.74
G205771,Jonathan Anderson,172524.18
G205772,"Booth, Long and Watts",399702.7
G205773,"Harrison, Hicks and Grant",196922.97
G205774,Ford Ltd,479138.53
G205775,Bryan-Baird,489680.08
G205776,Angela Smith,270318.88
G205777,Robbins PLC,110242.16
G205778,"Allen, Brady and Burns",461720.19
G205779,Gonzalez LLC,240828.24
G205780,Dickerson-Hernandez,476430.82
G205781,"Sanders, Garner and Stein",270086.52
G205782,"Munoz, Hogan and Camacho",141945.89
G205783,Alicia Hamilton,135696.75
G205784,"Landry, Ward and Miller",181259.15
G205785,Kyle Ortega,171346.53
G205786,Kristin Graves,83840.93
G205787,Charles Rivera,475433.47
G205788,"Larson, Ritter and Nguyen",300604.24
G205789,Christina Gilbert,382231.64
G205790,Howard PLC,428556.64
G205791,"Pittman, Robinson and Williams",21556.03
G205792,"Taylor, Jones and Harvey",457768.55
G205793,Courtney Knight,312933.74
G205794,Braun Group,466265.03
G205795,Anthony Vasquez,485370.57
G205796,Hamilton and Sons,498037.69
G205797,"Fisher, George and Brown",163355.84
G205798,Michael Erickson,144656.13
G205799,Schneider-Compton,71699.5
G205800,Murray and Sons,301066.99
G205801,Matthew Carney,29171.86
G205802,"Mcpherson, Garrison and Frazier",494551.8
G205803,"Vega, Johnson and Chambers",93779.02
G205804,Rodriguez-Bailey,452032.92
G205805,Wade and Sons,315061.5
G205806,Davis LLC,425909.54
G205807,Anthony Smith,454535.63
G205808,"Marshall, Butler and Butler",123435.72
G205809,Barrett Inc,276529.61
G205810,"Ellis, Taylor and Lawrence",130863.01
G205811,George Inc,446847.76
G205812,Michele Williamson,421349.87
G205813,Avery-Townsend,128217.67
G205814,"Castaneda, Bullock and Freeman",417377.46
G205815,Baker-Williams,490131.45
G205816,Hannah Tran MD,223784.08
G205817,Nancy Cole,224445.75
G205818,"Moss, Wilson and Larsen",157129.67
G205819,Love-Aguirre,12410.51
G205820,Sandra Clayton,28433.96
G205821,Melton PLC,494609.18
G205822,Johnson Group,489868.35
G205823,Randy Anderson,57200.3
G205824,"Stevens, Freeman and Berger",479817.73
G205825,Skinner-Byrd,232782.13
G205826,"Hubbard, Foster and Herrera",398368.94
G205827,Price Group,396871.92
G205828,Alexandra Chapman,404304.3
G205829,"Kennedy, Rodriguez and Carroll",403443.44
G205830,Jason Young,436082.36
G205831,Bryant Inc,16982.51
G205832,"Proctor, Schroeder and Parker",316913.27
G205833,Smith-Howe,305021.89
G205834,"Garcia, Parsons and Richardson",372164.44
G205835,"Stewart, Martinez and Chen",388039.81
G205836,Johnny Morrison,226131.28
G205837,"Davis, Stephens and Johnson",66399.06
G205838,"Wilkerson, Harrington and Barber",77739.19
G205839,Mann LLC,90669.17
G205840,Kerry Snyder,167906.09
G205841,Brown and Sons,352510.67
G205842,"Walker, Miller and Macias",382872.57
G205843,Palmer PLC,189602.71
G205844,Virginia Payne,404855.24
G205845,Green-Smith,403016.66
G205846,Suarez-Vance,268892.68
G205847,"Patterson, West and Underwood",111561.76
G205848,"Ramirez, Hernandez and Norris",422893.94
G205849,"Harris, Sloan and Sanchez",329746.07
G205850,"Haley, Herrera and Porter",463757.14
G205851,Frazier Ltd,342130.38
G205852,Garcia Inc,307857.94
G205853,Miller Inc,199683.18
G205854,"Wilson, Johnson and Watkins",255395.5
G205855,Paul Hoffman,201161.87
G205856,Charles Gray,262322.55
G205857,"Weaver, Bryant and Wong",323312.41
G205858,Gutierrez-Smith,165811.99
G205859,Ramsey-King,103800.32
G205860,Christopher Weeks,346948.79
G205861,"Carlson, Rowe and Lynch",386177.82
G205862,Hill-Johnson,112493.6
G205863,Danny Berg,15819.47
G205864,Michael Wells,274021.84
G205865,"Jordan, James and Mckinney",22949.02
G205866,Burton-Young,388726.26
G205867,Steven Cross,423591.33
G205868,Howard PLC,55998.97
G205869,Harris-Garcia,17375.87
G205870,Crystal Bowen,321758.44
G205871,Townsend-Richards,29055.19
G205872,Patricia Carter,145200.63
G205873,Jordan-Hammond,418797.71
G205874,James Ho,90270.57
G205875,"Davis, Buck and Hudson",171515.73
G205876,Gutierrez-Campos,292063.7
G205877,Gregory Inc,191141.57
G205878,"Wu, Thomas and Hendrix",386286.46
G205879,Valdez-Foster,218012.49
G205880,Sarah Cobb,288382.56
G205881,Mary Johnson,350543.69
G205882,Gonzalez PLC,309689.15
G205883,"Mcdonald, Perez and Vasquez",235952.92
G205884,Rhodes-Green,82443.77
G205885,Jeremy Greer,87335.47
G205886,Green-Myers,244589.98
G205887,Wright-Diaz,486060.58
G205888,Brandy Graves,425666.21
G205889,"Mcpherson, Rodriguez and Rivers",54710.39
G205890,"Evans, Parsons and Henderson",405822.32
G205891,Mclaughlin and Sons,329162.28
G205892,Allen-Waters,321134.43
G205893,Padilla-Johnson,61948.0
G205894,Johnson and Sons,266179.06
G205895,Jordan-George,21358.74
G205896,Willis Group,216637.44
G205897,Cardenas-King,53299.0
G205898,Cunningham-Golden,376396.18
G205899,"Mills, Gonzalez and Gonzales",69859.44
G205900,Hinton-Woods,353682.69
G205901,Hill-Allen,48278.0
G205902,Dodson and Sons,346141.76
G205903,Gould LLC,275701.56
G205904,Nelson Inc,142717.31
G205905,Leonard-Barajas,249148.94
G205906,Graves LLC,119134.23
G205907,Saunders Ltd,67254.73
G205908,Sydney Myers,437319.05
G205909,Moore Ltd,194927.23
G205910,Hall-Wright,310679.04
G205911,Villa and Sons,439202.05
G205912,Bobby Jenkins,399418.75
G205913,Taylor LLC,210324.3
G205914,Sanford Ltd,91549.07
G205915,"Raymond, Vega and Singleton",462934.54
G205916,Horton PLC,473412.46
G205917,Samuel Phillips,386653.49
G205918,Kevin Jones,425476.88
G205919,Debra Logan DDS,211188.31
G205920,Lisa Roman,403931.34
G205921,Troy Pope,401137.3
G205922,"Burns, Anderson and Kelly",365324.0
G205923,Davis Group,433808.25
G205924,Garcia-Moreno,98670.94
G205925,Smith and Sons,209172.43
G205926,"Stevens, Hanson and Kennedy",495314.87
G205927,Flynn-Reed,237976.46
G205928,Julie Watson,206726.5
G205929,Long Ltd,388185.19
G205930,Hannah Morgan,68229.0
G205931,Jennifer Bennett,391123.85
G205932,Spears-Lee,166858.63
G205933,Misty Harding,177912.69
G205934,Nunez-Schmidt,357065.33
G205935,"Ibarra, Morrison and Dixon",336482.25
G205936,Rivera-Navarro,484185.73
G205937,Long-Sanchez,358610.55
G205938,Ortiz-Schwartz,109600.85
G205939,"Walker, Chung and Berger",445497.56
G205940,Richard Fleming,19647.73
G205941,Washington LLC,114091.04
G205942,Walters-Lopez,460884.43
G205943,Davidson-Turner,403737.33
G205944,"Blair, Frost and Michael",354838.99
G205945,"Vincent, Brooks and Morris",495742.77
G205946,Thomas Parks,270446.46
G205947,"Chavez, Scott and Cole",182083.21
G205948,Garcia-Jones,430557.13
G205949,"Riley, Moss and Thompson",304345.69
G205950,"Brooks, Soto and Hayes",454192.01
G205951,Davila-Heath,20637.95
G205952,Green-Cole,303319.62
G205953,Walls and Sons,252191.11
G205954,"Salazar, Lee and Smith",148718.57
G205955,"Miller, Fisher and Palmer",192083.62
G205956,Washington-Davies,296712.55
G205957,Hartman PLC,495379.53
G205958,Dean-White,8372.14
G205959,"Austin, Jones and Davis",224132.05
G205960,"Chandler, Berger and Irwin",248198.31
G205961,Jones-Vaughn,340564.24
G205962,"Davis, Ruiz and Johnson",234706.97
G205963,Kelly Brown,384790.32
G205964,"Carroll, Mills and Sheppard",496456.39
G205965,Emily Alvarado,424184.79
G205966,"Jones, Newton and Dean",36312.08
G205967,Christopher Harris,166333.58
G205968,Zachary Wolfe,442954.5
G205969,Blair-Rodriguez,47042.52
G205970,Dawn Jones,386304.91
G205971,Lindsay Mays,63253.76
G205972,Graves Ltd,103705.26
G205973,"Randall, Smith and Torres",73443.83
G205974,Harris Group,342255.87
G205975,Williams Ltd,478957.54
G205976,Randy Buchanan,277698.95
G205977,White-Gardner,140376.93
G205978,"Lucas, Jackson and Mitchell",248924.27
G205979,Kelsey Strickland,230634.73
G205980,Cervantes-Gordon,23319.27
G205981,Carly Miller,382494.65
G205982,Michele Harris,304643.73
G205983,Sarah Lynch,479490.59
G205984,Lewis Inc,278620.56
G205985,Jessica Macdonald,250207.89
G205986,"Hill, Simmons and Smith",66164.22
G205987,Frost-Dickerson,195680.96
G205988,Rogers LLC,439072.84
G205989,Rodney Cunningham,443355.19
G205990,Mrs. Nicole Ramirez,347463.34
G205991,Ferguson PLC,55591.85
G205992,John Contreras,459064.31
G205993,Ebony Potter,161155.3
G205994,"Johnson, Hopkins and Anderson",31696.0
G205995,Dean Moore,148913.84
G205996,Jacob Allen,252586.15
G205997,Thompson and Sons,317274.33
G205998,Hodges-Mcdowell,178012.95
G205999,"Green, Garcia and Kim",130310.66
G206000,"Terrell, Tucker and Waters",143996.69
G206001,Benjamin Carter,415065.74
G206002,"Atkinson, Medina and Drake",412624.33
G206003,Torres-Thompson,261718.26
G206004,Monroe-Anderson,259586.49
G206005,Simmons and Sons,177691.73
G206006,Payne-Higgins,155944.68
G206007,Kathryn Jones,296043.57
G206008,Price and Sons,476378.17
G206009,May-Davis,491326.12
G206010,Dunn-Cox,186244.13
G206011,"Long, Stone and English",218696.0
G206012,Bryce Schmitt,186905.53
G206013,Smith PLC,457223.73
G206014,Thompson-Wang,450071.0
G206015,Susan Thornton,200299.09
G206016,Kidd-Anderson,161110.35
G206017,"Gregory, Gaines and Lopez",368047.2
G206018,Craig Inc,120652.04
G206019,Montoya-Jackson,296871.84
G206020,Fuentes-Allen,111812.43
G206021,Smith Ltd,170124.71
G206022,"Cunningham, Douglas and Hicks",31053.66
G206023,Emily Clark MD,65312.65
G206024,Lozano Group,458496.74
G206025,Bowen Group,437556.65
G206026,Jonathan Reyes,402782.69
G206027,"Espinoza, Johnson and Jones",476386.28
G206028,Taylor Vasquez,104446.46
G206029,Helen Morrison,189759.23
G206030,Martinez-Bennett,263230.51
G206031,Holly Smith,160941.71
G206032,Watts-Strong,239964.71
G206033,Thompson-Kelley,55303.72
G206034,Melinda Carpenter,368519.85
G206035,Ms. Cynthia Morris,243079.33
G206036,"Nichols, Thornton and Byrd",354040.14
G206037,Anderson Group,216569.05
G206038,Kurt Miller,321511.7
G206039,"Richardson, Johnson and Brown",354302.69
G206040,Garcia-Contreras,438561.7
G206041,Bailey-Brown,133646.28
G206042,Baldwin and Sons,235186.38
G206043,"Cross, Reed and Jackson",405186.03
G206044,Brooke Waller,233207.3
G206045,Fry Group,16533.55
G206046,John Ford,87914.88
G206047,"Hernandez, Burgess and Sanders",106887.29
G206048,Brian Roberts,313822.66
G206049,Chang-Clay,353384.24
G206050,Albert Olson,319315.94
G206051,Hamilton Group,231906.48
G206052,"Hunter, Acevedo and Payne",42746.09
G206053,Ashley Harmon,21615.43
G206054,Anderson PLC,100145.49
G206055,Nunez PLC,395255.29
G206056,Ellison-Rodgers,488456.01
G206057,Antonio Watson,183250.3
G206058,Jeffery Black,48907.48
G206059,Meredith King,84389.17
G206060,Choi Ltd,114607.6
G206061,Potts PLC,216911.8
G206062,Sheila Wright,138377.7
G206063,Amanda Jackson,311294.98
G206064,Anne Matthews,465839.62
G206065,Mr. Reginald Tucker,379730.96
G206066,Cummings Inc,141028.23
G206067,Mills Ltd,125563.88
G206068,Davis Inc,57554.48
G206069,Christina Wolfe,492792.27
G206070,Alicia Young,44078.29
G206071,John Logan,394906.27
G206072,Clark-Graham,422210.6
G206073,Ronald Morgan,39097.23
G206074,Randy Fields,386021.86
G206075,"Carroll, Lang and Jones",280900.15
G206076,Ashley Mcdaniel,325267.57
G206077,Krueger PLC,142743.13
G206078,Wells Group,410398.17
G206079,James Lopez,440538.08
G206080,James Werner,493294.23
G206081,Smith-Newman,154887.66
G206082,Stevens-Christensen,37942.87
G206083,Campbell and Sons,97213.32
G206084,Christian Davis,100570.42
G206085,Mr. Craig Powell,221527.41
G206086,Newton Inc,27284.14
G206087,Hunt-Parrish,73207.34
G206088,Kelly Garcia,183566.44
G206089,"Price, Mendoza and Cline",488500.06
G206090,William Cohen,447241.42
G206091,Little and Sons,456769.71
G206092,"Phelps, Nguyen and Wilson",313560.16
G206093,"Jacobson, Allen and Bell",455467.34
G206094,Wilkinson-Lewis,453449.18
G206095,Schmidt PLC,383712.09
G206096,Hughes-Fletcher,454637.57
G206097,Cory Allen,133729.56
G206098,"Castro, Skinner and Robertson",449891.45
G206099,Wheeler-Solomon,355496.84
G206100,Foster-Case,246544.39
G206101,Scott-Aguirre,364126.51
G206102,John Henry,268704.71
G206103,"Martin, Garcia and Olsen",241495.21
G206104,Shaw-Kelly,276659.09
G206105,"Morgan, Krause and Walker",270127.72
G206106,Hall-Chavez,302286.26
G206107,Juan Lawson,168418.86
G206108,Parker-Edwards,29773.93
G206109,"Mathews, Garcia and Webster",146173.5
G206110,Oneal-Moreno,496968.72
G206111,Taylor PLC,99934.83
G206112,Castillo Group,455559.37
G206113,Howell-Morris,491722.68
G206114,Tiffany Hamilton,9126.61
G206115,Ms. Teresa Alexander,343725.18
G206116,Manuel Douglas,350696.64
G206117,Kelly Franco,383328.89
G206118,Christine Doyle,63240.96
G206119,Steven Young,391910.11
G206120,Gregory Kramer,86358.58
G206121,Sanchez-Little,356860.15
G206122,Flores-Williams,83322.45
G206123,Galvan-Sexton,221832.04
G206124,Phelps-Butler,372494.63
G206125,Joshua Smith,377502.05
G206126,Michael Sanchez,85993.18
G206127,Jonathan Mckee,62951.0
G206128,"Murillo, Perkins and Brown",256235.43
G206129,"Hatfield, Forbes and Hunter",461144.9
G206130,Pratt-Blackwell,140256.82
G206131,Mike Blevins,17406.47
G206132,Crystal Miller,133470.33
G206133,Natalie Nelson,420573.23
G206134,Robert Mendoza,74532.41
G206135,Rivas-Yates,431634.53
