Policy No,Client Name,Premium
L104015,Rita Holmes,139156.66
L104016,Nicole Schneider,166774.48
L104017,Richard Little,74231.9
L104018,Jesus Jones,191603.86
L104019,Janet Smith,129859.65
L104020,Robert Andrews,33002.2
L104021,James Daniels,240031.6
L104022,Ryan Lewis,29845.01
L104023,John Cunningham,63802.9
L104024,Lacey Santana,142142.56
L104025,Patricia Russell,118929.47
L104026,Jeremy Roberts,191484.93
L104027,Christopher Flores,67377.53
L104028,Sara Parker,232679.94
L104029,Justin Mullins,66822.19
L104030,Donna West,168032.34
L104031,Kyle Brown,87886.45
L104032,Deborah Dalton,56232.91
L104033,Douglas Shaw,82744.58
L104034,Rebecca Thompson,151857.87
L104035,Austin Smith,247701.66
L104036,Shelley Lopez,144720.08
L104037,Debra Davis,40161.62
L104038,Danielle Watson,234800.41
L104039,Melissa Harrison,150963.19
L104040,Jeffrey Decker,180992.93
L104041,Linda Kent,105242.83
L104042,Courtney Cruz,48325.43
L104043,Kurt Johnson,238299.1
L104044,John Smith,20239.42
L104045,Jose Spencer,158424.74
L104046,Erin Douglas,233749.42
L104047,Ashley Crosby,139628.32
L104048,Ashley Carroll,182732.3
L104049,Gary Rhodes,62776.25
L104050,David Mccormick,158039.44
L104051,David Vasquez,36977.51
L104052,Natalie George,241438.02
L104053,Shane Vaughn,237342.05
L104054,Christina Smith,97551.03
L104055,Kylie Garcia,194799.51
L104056,Timothy Hernandez,227295.29
L104057,Deborah Wood,119572.95
L104058,Anna Barron,241178.64
L104059,Jennifer Watkins,196394.52
L104060,Luke Cain,223560.53
L104061,Eric George,229560.81
L104062,April Lang,67329.75
L104063,John Alvarez,129084.16
L104064,Pamela Tran,140199.08
L104065,Roy Ellis,71494.8
L104066,Dennis Thompson,62001.33
L104067,Joseph Foster,180595.91
L104068,Kevin Serrano,132468.1
L104069,Miguel Hayden,37878.84
L104070,Brianna White,249581.77
L104071,Tony Chavez,149530.24
L104072,Jessica Kirby,243780.39
L104073,Ashley Murphy,108625.18
L104074,Holly Robinson,149343.06
L104075,Stephanie Perez,244389.04
L104076,Jessica Hernandez,155873.68
L104077,Raymond White,137563.97
L104078,Ronnie Butler,37565.2
L104079,Joshua Mcdaniel,62211.8
L104080,Steve Gutierrez,11137.66
L104081,Jeffrey Meyer,245291.75
L104082,Jeffrey Carson,212965.4
L104083,Jason Cruz,64740.1
L104084,Dave Hampton,110926.58
L104085,Troy Clark,196154.99
L104086,Brett Hernandez,224408.7
L104087,Amanda Allen,56907.34
L104088,Jacob Carpenter,193021.21
L104089,Kevin Johnson,150903.42
L104090,Willie Lamb,168469.73
L104091,Amber Cardenas,75690.22
L104092,Lisa Griffin,161725.94
L104093,Crystal Johnson,230002.37
L104094,Brandon Johnston,60686.94
L104095,Kristina Thompson,125634.59
L104096,Heather Davis,82373.39
L104097,Robert Richards,132518.04
L104098,Daniel Velez,156387.32
L104099,Shelia Munoz,232563.49
L104100,Fred Shelton,170468.29
L104101,Lindsey Santana,202410.32
L104102,Angela Mcgee,40720.41
L104103,Mark Miller,174926.26
L104104,Johnny Stein,35832.6
L104105,Mr. Jesus Morrow,42212.5
L104106,Jeffery Burgess,201084.29
L104107,Mr. Todd Johnson Jr.,100032.03
L104108,Mrs. Chelsea Potter,52228.26
L104109,Teresa Chambers,143325.38
L104110,Christopher Mcintosh,109681.85
L104111,Erik Thompson,190054.43
L104112,Shannon Gray,117813.37
L104113,Joshua Green,32922.66
L104114,Jose Singleton,238435.3
L104115,Roger Evans,245173.45
L104116,Joseph Richardson,184135.96
L104117,Patrick Johnson,17925.77
L104118,Stephanie Anderson,152212.89
L104119,Yvonne Davis,228173.53
L104120,Rebecca Hodge,65006.68
L104121,Travis Benjamin,248447.16
L104122,Kelly Bell,225204.01
L104123,Ryan Steele,71332.03
L104124,Gordon Gilmore,143701.19
L104125,Deborah Hale,196913.04
L104126,Joseph Payne,69948.75
L104127,Thomas Flores,137333.99
L104128,Jon Collins,213774.64
L104129,Steve Lee,198156.41
L104130,Jeffrey Arnold,185282.04
L104131,Ryan Esparza,135585.12
L104132,Brandy Hernandez,13523.74
L104133,Michael Lewis,143422.11
L104134,Heather Thompson,176646.96
L104135,John Anderson,63991.99
L104136,James Jackson,31653.97
L104137,Stacey Adams,75945.3
L104138,Blake Walker,143854.57
L104139,Maria Washington DDS,8838.4
L104140,Michael Meyers,133956.11
L104141,Wendy Wang,77278.91
L104142,Cassandra Webb,81668.41
L104143,Deborah Smith,204057.82
L104144,John Jenkins,126974.85
L104145,Mr. Douglas Gonzales,142816.16
L104146,Stephanie Zuniga,52469.8
L104147,Dustin Bell,82851.89
L104148,Jason Burke,95401.93
L104149,Eric Sullivan,164825.46
L104150,Justin Lee,204157.22
L104151,Gabriel Munoz,195365.94
L104152,Benjamin Brown III,47573.38
L104153,Harold Daniels,159216.54
L104154,Jodi Lewis,113347.92
L104155,Sarah Moore,31040.73
L104156,Kristina Carroll,142997.92
L104157,Mary Charles,212247.62
L104158,Ruben Walters,133924.42
L104159,John Harris,246439.26
L104160,Carol Anderson,160334.28
L104161,Michael Sims,58881.69
L104162,Cheryl Vasquez,45777.29
L104163,Christine Gonzales,96613.78
L104164,Thomas Lopez,163888.92
L104165,Jimmy Bray,198309.87
L104166,Steven Arnold,67826.54
L104167,Martin Chapman,107875.6
L104168,Amanda Anderson,204226.81
L104169,Hannah Lawrence,12667.41
L104170,Gwendolyn Young,143934.07
L104171,Theresa Thompson,199296.14
L104172,Deanna Burgess,189639.56
L104173,Tammie Lindsey,172155.65
L104174,Morgan Wang,58615.81
L104175,Christopher Matthews,206143.51
L104176,Michael Mullins,63527.45
L104177,Erica Garrison,141678.36
L104178,Randy Berry,25491.92
L104179,Katie Deleon DDS,57839.47
L104180,Mrs. Sharon Hickman MD,68552.31
L104181,Kristin Beard,249707.67
L104182,Jo Swanson,59029.44
L104183,Shannon Turner,160853.16
L104184,Michelle Velez,236596.57
L104185,Angela Guerrero MD,118770.95
L104186,Heather Sanchez,237151.9
L104187,Tiffany Maldonado,53138.29
L104188,Robert Nelson,106248.0
L104189,Kelli Ferguson,56022.13
L104190,Kyle Bradley,56987.7
L104191,Adam Williams,180852.85
L104192,Lisa Thornton,23319.31
L104193,Shane Mckinney,10252.03
L104194,Troy Dunn Jr.,89805.99
L104195,Gloria Campbell,52669.55
L104196,Gregory Bradshaw,49900.95
L104197,Joseph Gibbs,162752.08
L104198,Elizabeth Houston,204463.07
L104199,Denise Anderson,191794.09
L104200,Scott Marks,156121.63
L104201,Laura Patterson,214194.41
L104202,Kelly Moore,81375.91
L104203,Janet Cantrell,206374.06
L104204,Kim Baker,73692.74
L104205,Paul Williamson,196108.88
L104206,Shelly Andrews,53713.63
L104207,Timothy Jackson,62758.06
L104208,Nicholas Daniels,28128.44
L104209,Adam Sanchez,35092.04
L104210,Darrell Martin,165357.78
L104211,Janet Farley,243042.41
L104212,Blake Smith,53874.21
L104213,Jack May,124707.08
L104214,James Mendoza,141399.43
L104215,Alec Gomez,103694.64
L104216,Mark Howard,65693.27
L104217,Patrick Rollins,135290.56
L104218,Colleen Collier,68724.82
L104219,Christine Boyd,47712.27
L104220,Thomas Johnson,146604.98
L104221,Yolanda Lyons,161124.35
L104222,Adam Holmes,22009.1
L104223,Nicole Wallace,74877.92
L104224,Elizabeth Wallace,192690.06
L104225,Cody Bell,100237.64
L104226,Andrew Gill,151453.96
L104227,Maria Haas,78090.32
L104228,Amy Archer,124916.79
L104229,Steven Simmons,217958.48
L104230,Laura Snyder,30384.31
L104231,Robert Hopkins,197173.31
L104232,Kara Dennis,159657.5
L104233,Michele Osborne,45620.28
L104234,Jessica Brooks,115162.5
L104235,Amanda Foster,105099.12
L104236,Ellen Taylor,90602.27
L104237,Justin Kaiser,41936.41
L104238,Clayton Mcdonald III,160065.68
L104239,Troy Carson,204284.02
L104240,Christopher Ramirez,86810.16
L104241,Russell Chase,225164.28
L104242,Joel Flores,157357.46
L104243,Jordan Smith,192876.56
L104244,Ryan Johnson,138720.8
L104245,Mikayla Hamilton,63842.02
L104246,Christine Rivera,146642.59
L104247,Brian Reed,121467.94
L104248,Emily Ritter,31880.13
L104249,Keith Combs,201420.26
L104250,Kim Cooper,207031.21
L104251,Mr. Edwin Moore,12489.19
L104252,Clinton Sanchez,56683.73
L104253,Rodney Vega,77536.69
L104254,Timothy Brandt,199116.57
L104255,Billy Miller,27344.77
L104256,Mrs. Kimberly Rodriguez,244486.51
L104257,April Cain,47308.95
L104258,Helen Oconnell,200574.99
L104259,Thomas James,18002.24
L104260,Kevin Gonzalez,242891.05
L104261,Charles Mckay,8085.89
L104262,Cody Coleman,99215.7
L104263,Terry Harris,52898.07
L104264,Joshua Fernandez,184528.32
L104265,Patrick Preston,249127.57
L104266,Maureen Brooks,14403.16
L104267,Belinda Roach,198859.82
L104268,Robert Hinton,43613.06
L104269,Christine Tanner,58910.19
L104270,John Frost,174946.18
L104271,Kristi Sanders,120223.93
L104272,Alexander Young,96362.47
L104273,Kristen Conley,23594.91
L104274,Martin Atkinson,148139.85
L104275,Heather Richards,87599.08
L104276,Matthew Malone,219885.82
L104277,Michelle Schaefer,81413.72
L104278,Justin Powell,193918.83
L104279,Charles Smith,230955.63
L104280,Regina Ramos,117928.19
L104281,Kathleen Brown DDS,93278.47
L104282,Stephen Meyer,195276.05
L104283,Mr. Steve Haas,31567.39
L104284,George White,161265.93
L104285,Megan Rose,184349.19
L104286,Ann Blair,212420.04
L104287,Douglas Zamora,30362.02
L104288,Margaret Skinner,68493.23
L104289,Jennifer Sanders,159092.21
L104290,Rebecca Sanchez,222723.47
L104291,Virginia Smith,221524.69
L104292,Brooke Jackson,82465.83
L104293,Meghan Anderson,245219.91
L104294,Alexandra Gillespie,31280.76
L104295,Kevin Carlson,64386.0
L104296,Christopher Rivera,160827.67
L104297,Ashley George,241329.61
L104298,Joseph Gomez,108946.44
L104299,Miranda Duncan,120992.81
L104300,Benjamin Weaver,82810.15
L104301,Dr. Matthew Clay,233617.02
L104302,Timothy Hall,107955.21
L104303,Daniel Smith,203349.59
L104304,Elizabeth Reyes,8427.84
L104305,Brianna Harris,58345.04
L104306,Katherine Hernandez,11685.95
L104307,Mary Campbell,33255.91
L104308,Courtney Ramos,245165.15
L104309,James Wright,93540.67
L104310,Susan Owen,99442.9
L104311,Robin Jordan,175524.54
L104312,Katherine Mason,58884.9
L104313,Anna Brown,75496.04
L104314,Christopher Miller,153575.42
L104315,Gabriela Bush,107785.08
L104316,Brittany Frost,60913.87
L104317,James Lewis,20999.99
L104318,Patrick Navarro,154646.92
L104319,Nicole Bradford,100145.82
L104320,Jennifer Douglas,92094.27
L104321,Brooke Anderson,211808.62
L104322,Jonathan Mcgee,148849.38
L104323,Evan Callahan,120483.52
L104324,Brian Wolfe,150242.26
L104325,Cole Martin,152085.87
L104326,Amanda Lawson,235697.06
L104327,Stephanie Young,134447.84
L104328,Erica Smith,155282.31
L104329,Joseph Moreno,21166.43
L104330,Robert Hill,127750.93
L104331,Brandi Melendez,152357.13
L104332,Cynthia Rollins,72149.93
L104333,Teresa Collins,48607.67
L104334,Samuel Powell,55366.99
L104335,Madison Ross,203893.45
L104336,Shawn Williams,249974.66
L104337,Jennifer Ross,239706.71
L104338,Heather Michael,49327.91
L104339,Joshua Zimmerman,240139.75
L104340,Jordan Graham,59972.85
L104341,Stephanie Smith,69419.58
L104342,Amanda Smith,25442.58
L104343,Michelle Woodward,137911.29
L104344,Daniel Williams,225741.67
L104345,Willie Hansen,155267.82
L104346,Robert Patel,21628.73
L104347,Keith Smith,136475.22
L104348,Gregory Adkins DVM,165124.01
L104349,Melissa Williams,41539.34
L104350,Kenneth Gonzalez,195333.28
L104351,Jill Mcdowell,20532.65
L104352,Eric Miller,138086.83
L104353,Marcia Gibson,41047.4
L104354,Francisco Hall MD,152074.19
L104355,Aaron Sanford,85926.5
L104356,Kristopher Hayden,58732.83
L104357,Patricia Best,191442.61
L104358,Lindsey Alexander,66515.77
L104359,Jennifer Cabrera,105564.23
L104360,Zachary Adkins,138382.26
L104361,Anthony Miller,96283.27
L104362,Peter Boyer,8292.22
L104363,Mitchell Smith DVM,120476.31
L104364,Scott Perez,193253.82
L104365,Gary Hart,35410.39
L104366,Martin Wolfe,142976.75
L104367,Jennifer Griffin,106163.51
L104368,John Thompson,115706.07
L104369,Paul Scott,243074.51
L104370,Vanessa Lin,156189.98
L104371,Daniel Robertson,41752.48
L104372,Jennifer Pruitt,136388.1
L104373,Henry Zamora,73825.79
L104374,Lauren Roman,150986.31
L104375,Sharon Hutchinson,228270.76
L104376,Laura Oconnor,109532.79
L104377,Tiffany Harris,21722.14
L104378,Brittany Fuller,170816.88
L104379,Sherry Nicholson,131459.9
L104380,Kelli Griffin,198963.16
L104381,Carlos Hamilton,174850.58
L104382,Robert Lawson,237393.13
L104383,Caleb Kennedy,246480.49
L104384,Jamie Jones,29322.75
L104385,William Fleming,76218.69
L104386,Barbara Martinez,7667.47
L104387,Laurie Nelson,189810.09
L104388,Robin Reynolds,249899.1
L104389,Noah Webster,217657.72
L104390,Maureen Edwards,30744.21
L104391,Shane Lee,161640.79
L104392,Ashley Romero,78933.22
L104393,Lindsay Bender,106163.27
L104394,Angela Clark,103803.87
L104395,Antonio Lowe,217826.18
L104396,Nicole Myers,18115.94
L104397,Dennis Buck,164216.66
L104398,Julia Smith,146765.57
L104399,Sheila Smith,105062.52
L104400,Cynthia Fitzgerald,30131.37
L104401,Steve Ramirez,153457.06
L104402,Mrs. Lindsay Wilkerson,117778.57
L104403,James Knight,248127.24
L104404,Brittney Kaufman,58608.36
L104405,Andrew Martin,232609.23
L104406,Michael Kelley,39614.01
L104407,Marcus Buchanan,139178.33
L104408,Rachel Rice,177868.44
L104409,Debbie Hall,128054.17
L104410,Victoria Lopez,34397.19
L104411,Christine Hudson,225755.75
L104412,Heather Long,52906.34
L104413,Beth Robbins,228019.5
L104414,Veronica Chandler,106122.59
L104415,John Martin,175579.01
L104416,Michele Gonzalez,56849.18
L104417,Christopher Nelson,107932.37
L104418,Sharon Willis,91305.69
L104419,William Clark,219023.2
L104420,Aaron Pruitt,142218.35
L104421,Cynthia Martinez,143379.26
L104422,John Williams,190466.74
L104423,Rachel Wood,124113.9
L104424,Andrew Byrd,49836.29
L104425,Tina Adkins,170300.14
L104426,Brenda Barrera,206035.79
L104427,Audrey Alvarez,64330.92
L104428,Joseph Nixon,21982.86
L104429,Joseph Austin,145967.76
L104430,Christina Snyder,75730.48
L104431,Angela Harmon,244314.91
L104432,Stephanie Nguyen,69921.72
L104433,Michael Soto,40765.03
L104434,Tina Garcia,26187.23
L104435,Dr. James Franklin DDS,133806.27
L104436,Ashley Shepherd,198728.36
L104437,Timothy Peters,63979.29
L104438,Krista Hood,234064.81
L104439,Justin Mercado,141020.7
L104440,Donald Tucker,175259.85
L104441,Sandra Ellis,246380.07
L104442,Denise Thomas,7565.55
L104443,Caroline Martinez,222155.75
L104444,Colton Warren,149305.14
L104445,David Parker,57857.76
L104446,Christopher Deleon,100231.92
L104447,Joshua Johnson,80369.06
L104448,Jonathan Roach,246738.84
L104449,Brian Craig,12384.15
L104450,Jessica Farmer,27904.48
L104451,Sarah Wilson,228153.89
L104452,Daniel Hamilton,249035.55
L104453,Walter Thomas,78352.11
L104454,Samantha Silva,138271.34
L104455,Rebekah Nelson,92121.36
L104456,Travis Chandler II,218291.37
L104457,Travis Little MD,120577.39
L104458,James Wagner,114076.03
L104459,Christopher Matthews,197606.8
L104460,Karen Palmer,78706.07
L104461,Rebecca Mora,72676.59
L104462,Valerie Sparks,185519.76
L104463,Mitchell Murray,88523.12
L104464,Christopher Coleman,204005.89
L104465,Laura Miles,150914.89
L104466,Jessica Henderson,35598.2
L104467,Jerry Hernandez,81406.2
L104468,Ebony Hays,105130.83
L104469,Daniel Smith,238908.94
L104470,Katherine Holland,125876.58
L104471,Craig Williamson,32470.48
L104472,Frank Hunter,188104.82
L104473,Crystal French,110791.31
L104474,Kathleen Hayes,160807.69
L104475,Rebecca Robinson,237522.5
L104476,Joseph Smith,235337.48
L104477,Stephen Arellano,209099.92
L104478,Lisa Moore,84577.01
L104479,Jeffrey Fleming,151634.3
L104480,Aimee White,28691.76
L104481,John Smith,231964.4
L104482,Christopher Patterson,93678.1
L104483,Erica Glover,199998.62
L104484,Julie Sandoval,138831.67
L104485,Gregory Adams,147321.42
L104486,Kimberly Howard,131302.9
L104487,Tanya Butler,114141.37
L104488,Andrew Love,188323.34
L104489,Joanna Lewis,171405.94
L104490,Kaitlyn Moore,85086.98
L104491,Michael Diaz,29545.75
L104492,Jennifer Patel,213407.04
L104493,John Gonzalez,195783.07
L104494,Rhonda Turner,10472.15
L104495,Dawn Murray,206453.52
L104496,Raymond Johnson,11282.29
L104497,Jason Barnes,187262.25
L104498,Cathy Tran,62006.22
L104499,Ian Brock,46944.46
L104500,Christopher Cruz,100976.66
L104501,Scott Manning PhD,71784.7
L104502,David Gordon Jr.,143171.84
L104503,Ashlee Gutierrez,247716.9
L104504,Jeremy Shaw,61960.78
L104505,Chad Goodman,137164.24
L104506,Shawn Sweeney,131097.51
L104507,Whitney Dixon,76901.85
L104508,Stephanie Mckenzie,247413.79
L104509,Christopher Gallagher,78230.78
L104510,Brooke Fischer,102600.15
L104511,Kyle Grimes,206713.58
L104512,Heather Moreno,210086.58
L104513,Lisa Holmes,189454.9
L104514,James Sampson,54893.88
L104515,Brian Price,93087.83
L104516,Brittany Frye,158481.74
L104517,Joy Donaldson,242100.11
L104518,Jeremy Hall,12336.42
L104519,Linda Phillips,33921.76
L104520,Jonathan Hooper,32848.85
L104521,Karen Brown,238168.19
L104522,Brittany Combs,168122.31
L104523,Suzanne Miles,157030.71
L104524,Aaron Lopez,81406.9
L104525,Shannon Rose,33155.96
L104526,Diane Holmes,178357.2
L104527,Margaret Jimenez,120523.96
L104528,George Estrada,239456.44
L104529,Andre Davis,107134.33
L104530,Mary Taylor,180849.77
L104531,Mark Wheeler,213845.39
L104532,Daniel Price,35417.67
L104533,Robert Keith,147176.96
L104534,Ronald West,96489.28
L104535,Wanda Rosario,175568.47
L104536,Christina Sawyer,59618.14
L104537,Matthew Gordon Jr.,94934.87
L104538,Sarah Cortez,87241.91
L104539,Brandi Thompson,177870.14
L104540,Jodi May,11649.49
L104541,Timothy Browning,245885.11
L104542,Samantha Smith,88359.69
L104543,Eric Moore,193348.15
L104544,Stephanie Scott,97748.09
L104545,Ryan Brewer,21720.48
L104546,James Johnson,77271.05
L104547,Kimberly Sanchez,102330.81
L104548,Julie Smith,182044.68
L104549,James Douglas,95402.97
L104550,Aaron Hernandez,186360.85
L104551,Mary Gilbert,19314.29
L104552,Tyler Mcclain,44662.2
L104553,Michael Smith,46419.18
L104554,Richard Schneider,92765.82
L104555,John May,138694.05
L104556,Tiffany Franco,7267.51
L104557,Amanda Rojas,142535.59
L104558,Robert Martin,89766.0
L104559,Christopher Russell,131008.58
L104560,Corey Thomas,88374.08
L104561,Kevin Brooks,87581.47
L104562,Dawn Chen,27585.19
L104563,Kevin Jones,70318.64
L104564,Joseph Mendoza,13821.28
L104565,Tyler Holland,208663.02
L104566,Matthew Mcconnell,83323.79
L104567,Brittany Lyons,195131.0
L104568,Katie Daugherty,139970.44
L104569,Connie Robinson,157529.35
L104570,Kristina Mclaughlin,9690.9
L104571,Tracy Lindsey,78592.47
L104572,Cassandra Roman,236144.54
L104573,Ashley Holt,102990.33
L104574,Mary Moore MD,83774.44
L104575,Michael Hurley,77711.64
L104576,Amy Combs,56660.8
L104577,Jamie Davis,20765.69
L104578,Bradley Ryan,173719.54
L104579,Julia Short,166513.0
L104580,Kristin Simmons,20212.37
L104581,Kaylee Coleman,42234.65
L104582,Julie Jones,103983.73
L104583,Ms. Cindy Walker,37736.8
L104584,Destiny Gordon,19416.01
L104585,Chris Martinez,155106.37
L104586,Bridget Singleton,77545.27
L104587,Becky Stein,247070.23
L104588,John Espinoza,228712.18
L104589,Kimberly Haley,228517.41
L104590,Alexandra Flores,165397.27
L104591,Melissa Hurst,187818.26
L104592,Jason Anderson,174282.69
L104593,Alexis Lane,5953.47
L104594,Sara Edwards,166170.25
L104595,Stacy Wiley,122305.21
L104596,Melanie Bishop,200976.44
L104597,Chloe Allison,24080.4
L104598,Luis Johnson,121429.37
L104599,Angela Stafford,86695.71
L104600,James Martinez,74284.05
L104601,Donna Boyd,234167.22
L104602,James Ramos,163106.32
L104603,Abigail Mendez,10473.95
L104604,Denise Gonzales,190430.26
L104605,Amy Walker,197290.8
L104606,Kristin Hall,198631.59
L104607,Joseph Freeman,127857.65
L104608,Lisa Pham,60807.99
L104609,Theresa Ewing,93045.26
L104610,Alan Frazier,57538.74
L104611,Briana Hill,135939.74
L104612,Nicholas Walter,176528.44
L104613,Michael Diaz,78822.55
L104614,Michelle Bailey,13242.41
L104615,David Vaughn,112259.11
L104616,Devin Sosa,234511.72
L104617,Heather Garrett,88206.61
L104618,Barbara Sutton,147026.97
L104619,Elizabeth Barnes,19070.48
L104620,Cheryl Barnett,203357.31
L104621,Lauren Williams,35191.48
L104622,Kelsey Weaver,6534.23
L104623,Steven Rogers,68822.77
L104624,George Bennett,176145.17
L104625,Christopher Fisher,221397.19
L104626,Wendy Bennett,84536.12
L104627,Mr. Patrick Wolf Jr.,118145.33
L104628,Linda Dominguez,66653.3
L104629,Tammy Rose,193493.27
L104630,Alicia Rivera,41694.54
L104631,John Miller,81859.78
L104632,Jared Wilson,17370.09
L104633,Wayne Haynes,80836.23
L104634,Kimberly Case,62112.14
L104635,Cynthia Walsh,11705.89
L104636,Brittany Hansen,229983.02
L104637,Joseph Orr DVM,237770.78
L104638,Jamie Gomez,56703.88
L104639,Dana Soto,7823.53
L104640,Jessica Edwards,166662.85
L104641,Jennifer Simpson,236786.7
L104642,Lonnie Arellano,98251.27
L104643,Eugene Grimes,36236.51
L104644,Hector Mcgee,233941.8
L104645,Michael Morrison,225356.24
L104646,Richard Harris,20702.62
L104647,Victor Ford,116596.19
L104648,Yvonne Robinson,163063.59
L104649,Joann Bradley,46094.03
L104650,Paul Randolph,61217.57
L104651,Ashley Wells,76917.82
L104652,Daniel Knight,141472.52
L104653,Eric Stanley,112372.22
L104654,Jane Monroe,108714.67
L104655,Rodney Robertson,17987.55
L104656,Jenny Larson,141208.78
L104657,Kenneth Snyder,164915.72
L104658,Sara Chavez,206950.61
L104659,Zachary Fuller,67440.33
L104660,Matthew Perkins,176836.43
L104661,Kimberly Forbes,13759.83
L104662,Kevin James,59843.53
L104663,Kelly Smith,67856.97
L104664,Madeline Perry,228061.76
L104665,Caroline Rice,10607.13
L104666,Jennifer Cortez,146921.67
L104667,Jeffrey Howell,133400.13
L104668,Christopher Richardson,154572.52
L104669,Stanley Holmes,38601.97
L104670,Anthony Hines,187882.08
L104671,Helen Cummings,30650.21
L104672,Elaine Stafford,62164.04
L104673,Jessica King,207292.48
L104674,Sarah Hall,58689.02
L104675,Albert Barber,95587.82
L104676,Benjamin Wallace,176108.74
L104677,Michael Brown,198579.26
L104678,Francis Walker,96660.91
L104679,Anthony Hernandez,80971.28
L104680,Rachel Hall,25981.86
L104681,Robert Miller,28424.59
L104682,Steven Garrison,107429.66
L104683,Karen Palmer,5597.21
L104684,Maria Fernandez,172802.78
L104685,James Cobb,47763.94
L104686,Charlotte Jones,156472.98
L104687,Paula Flynn,46561.76
L104688,Gail Brown,118162.19
L104689,Charles Young,63423.33
L104690,Benjamin Lambert,125140.18
L104691,Marc Phillips,141342.11
L104692,Glenn Brady,66153.27
L104693,Keith Pruitt,117194.62
L104694,Sharon Woods,46095.75
L104695,Karen Wall,231051.13
L104696,Rebecca Spencer,174379.27
L104697,Alexandria Dixon,198132.03
L104698,Sierra Chen,29195.67
L104699,Amy Silva,129806.86
L104700,Charles Duncan,89875.8
L104701,Laura Jennings,114097.9
L104702,Randy Thompson,68407.19
L104703,Jonathan Hale,31652.96
L104704,Kimberly Chambers,247612.5
L104705,Zachary Walker,188492.88
L104706,Roger Martinez,246560.06
L104707,Alfred Glover,123635.63
L104708,Becky Knapp,134643.87
L104709,Roger Strickland,96696.56
L104710,Joseph Hutchinson,173434.73
L104711,Colleen Fields,116526.58
L104712,Tyler Tucker,14337.22
L104713,Olivia Thompson,168475.81
L104714,Rebecca Rice,134367.72
L104715,Alexander Campos,147003.7
L104716,Joseph Rodriguez,181182.24
L104717,Lori Smith,62349.58
L104718,Deborah Mcdaniel,235790.87
L104719,Marvin Santos,60188.3
L104720,Annette Jones,218194.66
L104721,Andre Peters,66555.07
L104722,Carrie Velasquez,216125.15
L104723,Scott Moore,189635.67
L104724,Kenneth Norris,188763.14
L104725,Stephanie Ross,223393.82
L104726,Charles Webb,211546.81
L104727,Ashley Obrien,61869.03
L104728,Tyler Lopez,80055.63
L104729,Jonathan Cross,94091.34
L104730,Sarah Klein,139848.29
L104731,Brian Jones,145338.25
L104732,Mary Patel,112167.42
L104733,Maria Brooks,246655.9
L104734,Ronald Goodwin,89960.78
L104735,Nichole Cruz,238276.46
L104736,Caitlyn Gardner,37415.92
L104737,Lisa Miller,238280.9
L104738,Anne Boyer,91255.87
L104739,Erin Conway,29439.53
L104740,Eric West,187571.34
L104741,Ruben Sherman,129559.92
L104742,Debbie Winters,153433.28
L104743,Alexander Tucker,24670.0
L104744,Mr. Ronald Harrison,115567.99
L104745,Henry Mercado,58846.98
L104746,Brandon Neal,160917.81
L104747,Aaron Smith,141216.91
L104748,Anna Banks,122678.58
L104749,Raymond Garcia,104741.93
L104750,Maria Maynard,235820.12
L104751,Justin Davis,214429.02
L104752,Brandy Kirby,49645.08
L104753,Diana Jackson,57863.85
L104754,Dakota Brown,6246.08
L104755,Annette Gonzalez,142002.88
L104756,Shawn Johnson,238767.75
L104757,Donna Rodriguez,159560.69
L104758,Sarah Nelson,142888.79
L104759,David Craig,101298.28
L104760,Joanna Fox,151661.26
L104761,Danielle Dunn,137264.1
L104762,Scott Ho,167948.47
L104763,Francisco Herrera,111302.96
L104764,Eric Guerrero,17175.33
L104765,Laura Hill,89998.82
L104766,Marie Oliver,215532.86
L104767,James Bullock,39729.11
L104768,Hector Dyer,7549.61
L104769,Michael Norris,115574.64
L104770,Regina Moore,98713.27
L104771,Mark Welch,192514.78
L104772,Amber Houston,54932.79
L104773,Brian Michael,143713.04
L104774,Stephanie Bruce,22326.78
L104775,Kenneth Davis,114690.36
L104776,Jeremy Simon,112517.74
L104777,Amanda Pitts,98224.89
L104778,Tiffany Sparks,106180.9
L104779,Christopher Howell,83532.03
L104780,Julia Whitaker,48926.86
L104781,David Robinson,141954.53
L104782,Heather Perez,192090.21
L104783,Michael Reynolds,69758.24
L104784,Paige Shepard,215707.52
L104785,Elizabeth Turner,170815.66
L104786,Michael Fox,219232.09
L104787,Michele Lewis,23104.98
L104788,Mary Smith,142818.87
L104789,David Trevino,106925.97
L104790,Yolanda Cochran,145918.38
L104791,Cynthia Rowe,235304.09
L104792,Erin Mann,28535.19
L104793,Ashley Taylor,91162.36
L104794,Steve Olson,197840.58
L104795,Steven Lyons,170244.9
L104796,Eugene Ellis,205663.22
L104797,Jessica Daniels,71621.0
L104798,Christina Bennett,126120.29
L104799,Kenneth Krueger,133093.0
L104800,Marc Garcia,109306.65
L104801,Christopher Krause,125077.35
L104802,Faith Roman,159871.87
L104803,Carolyn Hayes,11205.8
L104804,Sarah Parker,157468.59
L104805,Ryan Cook,130920.91
L104806,Christopher Brown,94215.9
L104807,Amy Owens,63335.99
L104808,Virginia Faulkner,249803.62
L104809,Maria Gonzalez,183134.57
L104810,Shannon Bryant,136214.91
L104811,Stephen Vaughn,30659.16
L104812,Eugene Sloan,245488.04
L104813,Lisa Ellis,25472.04
